;signal_id;id_measurement;phase;target;number_of_peaks_p2;number_of_peaks_p3;number_of_peaks_p4;mean_width_of_peaks_p2;mean_width_of_peaks_p4;mean_width_of_peaks_p3;mean_width_of_peaks_overall;max_width_of_peaks_p2;max_width_of_peaks_p3;max_width_of_peaks_p4;max_width_of_peaks_overall;min_width_of_peaks_p2;min_width_of_peaks_p4;min_width_of_peaks_p3;min_width_of_peaks_overall;mean_height_of_peaks_p2;mean_height_of_peaks_p4;mean_height_of_peaks_p3;max_height_of_peaks_p2;max_height_of_peaks_p4;max_height_of_peaks_p3;min_height_of_peaks_p2;min_height_of_peaks_p4;min_height_of_peaks_p3;sum_spectrum_p1;max_spectrum_p1;mean_spectrum_p1;max_freq_spectrum_p1;sum_spectrum_p2;max_spectrum_p2;mean_spectrum_p2;max_freq_spectrum_p2;sum_spectrum_p3;max_spectrum_p3;mean_spectrum_p3;max_freq_spectrum_p3;sum_spectrum_p4;max_spectrum_p4;mean_spectrum_p4;max_freq_spectrum_p4
10;10;3;1;0;34.0;94.0;24.0;0.000397380137410857;0.00012027172642846924;0.00038065969932936334;0.0002233703930273024;0.005356555586657607;0.0010962772925848607;0.00551491734224782;0.00551491734224782;4.417228341626469e-08;4.046194743714295e-08;2.8036393683578354e-07;4.046194743714295e-08;23.619703608372788;31.270597414360736;16.207047972799074;185.84814080694042;211.98677232412751;88.10158399779331;10.285061092866616;10.23517804460296;10.003772021225226;9.337676601717249e-06;2.1570110675384058e-06;2.91802393803664e-07;0.0;4.380042810225859e-06;1.45898752634821e-06;1.368763378195581e-07;5781250.0;1.132400825554214e-06;9.533628286817475e-08;3.5387525798569186e-08;14843750.0;3.6778978937945794e-06;2.1513521630822652e-07;1.1493430918108061e-07;18593750.0
11;11;3;2;0;31.0;96.0;20.0;0.0002819627128784516;0.00019275227895136662;7.645389737654041e-05;0.00019574245459927895;0.0053620194304057935;0.009897098521995471;0.0010374855720099614;0.009897098521995471;4.4257256378477905e-08;3.9162932950421236e-08;4.1524521011160684e-08;3.9162932950421236e-08;35.607242163343365;50.412208367654614;32.81373384790855;256.77379660217065;297.47116426338954;222.89708067833809;10.223514176362592;10.026283482328582;10.399197698358474;5.678114121110411e-06;1.0381032780060195e-06;1.7744106628470036e-07;1093750.0;5.493235676112818e-06;2.5797435228014365e-06;1.7166361487852555e-07;5781250.0;7.5350790211814456e-06;1.5042298855405534e-06;2.3547121941192017e-07;13281250.0;2.0953706552973017e-05;1.96338510249916e-06;6.548033297804068e-07;15468750.0
12;12;4;0;0;23.0;26.0;16.0;0.0004791365766041589;0.0002448276083281304;0.0003973928766144363;0.00036529146314243115;0.0030850152006858013;0.0019752507739901936;0.0012875177910646161;0.0030850152006858013;4.5007796102436257e-08;4.254423402599059e-08;5.1382396902772596e-08;4.254423402599059e-08;18.457320685942918;23.101462408580005;18.838624924351713;58.831426205328995;95.75782667779272;41.896118453884526;10.117125819780954;10.35583300890622;10.139256840859945;1.5521293335041264e-06;1.852593101148159e-07;4.850404167200395e-08;468750.0;1.2327063814154826e-06;2.910807950229355e-07;3.852207441923383e-08;5781250.0;3.6626835253628087e-07;1.8857230443813933e-08;1.1445886016758777e-08;14843750.0;5.98781070948462e-07;2.334132886971929e-08;1.8711908467139438e-08;15781250.0
13;13;4;1;0;10.0;19.0;6.0;0.0007918549840400551;0.0006364029114574345;0.0006980578452326682;0.0006913872065567947;0.002888375679010582;0.001980154526519163;0.002502183623703479;0.002888375679010582;2.4887948454736033e-06;1.9866734199749772e-07;1.976080940279644e-07;1.976080940279644e-07;24.757610557980485;21.94765082875498;14.399999205629024;76.71801030200427;72.87681118674476;19.024392597376078;11.164090730156602;10.331814696165953;12.331962223659577;1.6662741018080851e-06;2.155410783188927e-07;5.207106568150266e-08;468750.0;1.470995584895718e-06;2.799348806092894e-07;4.5968612027991185e-08;7187500.0;2.428078573757375e-07;9.44951406012251e-09;7.587745542991797e-09;10000000.0;2.87061084236484e-07;1.0777788439497726e-08;8.970658882390126e-09;19218750.0
14;14;4;2;0;15.0;25.0;15.0;0.0007257558501920497;0.0006172948908697992;0.0004534857893555471;0.0006021999429992534;0.005130245640872282;0.006128459566507502;0.001753794049045272;0.006128459566507502;4.2805723105266225e-08;3.94801420843578e-08;4.298579477181193e-08;3.94801420843578e-08;22.117661455023722;28.5047393045718;18.48645008526005;92.94976484889284;129.94529132199992;32.238398267780106;10.13086028639401;11.074271154402545;11.173708649594431;1.921392822623602e-06;2.3205710419915704e-07;6.004352570698757e-08;468750.0;1.2019045243505388e-06;3.1632123409508495e-07;3.755951638595434e-08;5781250.0;4.464394578462816e-07;1.7950290143176062e-08;1.39512330576963e-08;14843750.0;5.752422111982014e-07;2.1850182108096305e-08;1.7976319099943794e-08;15937500.0
15;15;5;0;0;1.0;5.0;3.0;3.769596877536969e-08;0.0009867471690455018;0.000584392131805389;0.0007429944374013834;3.769596877536969e-08;0.0048472655540185774;0.0009607160556440155;0.0048472655540185774;3.769596877536969e-08;1.351574911337084e-05;4.4893427574425006e-08;3.769596877536969e-08;11.82643011640265;26.211977771527092;19.887825968162126;11.82643011640265;33.86580457313276;24.485065636112907;11.82643011640265;17.69788948913259;13.854354631256157;1.08660162823071e-06;1.9419132968323538e-07;3.395630088220969e-08;3750000.0;3.352006388013251e-07;3.034525519751696e-08;1.047501996254141e-08;9375000.0;8.059675451477233e-07;2.5295759087384795e-07;2.5186485785866353e-08;13593750.0;4.043205535708694e-06;1.9511260234139627e-06;1.2635017299089668e-07;15156250.0
16;16;5;1;0;0.0;2.0;0.0;0.0;6.8198574994559746e-06;0.0;6.8198574994559746e-06;0.0;1.3591498589316325e-05;0.0;1.3591498589316325e-05;0.0;4.8216409595625007e-08;0.0;4.8216409595625007e-08;0.0;12.79431744319442;0.0;0.0;13.370259599894634;0.0;0.0;12.218375286494206;0.0;1.1671492075038259e-06;1.8831337911251467e-07;3.647341273449456e-08;3750000.0;3.3016416978171037e-07;1.9318704858051206e-08;1.0317630305678449e-08;9062500.0;8.944465434979065e-07;2.841768207417772e-07;2.795145448430958e-08;13593750.0;1.755304992911988e-06;6.67313202029618e-07;5.485328102849962e-08;15156250.0
17;17;5;2;0;1.0;8.0;2.0;0.0008535923010242994;0.0018252063004952862;0.00046471586436596843;0.0014895158576107752;0.0008535923010242994;0.009545715019091652;0.0009293693982668716;0.009545715019091652;0.0008535923010242994;4.1771147478721106e-08;6.233046506531537e-08;4.1771147478721106e-08;13.523649558224772;23.092297398413592;14.473269759367385;13.523649558224772;38.64889919112314;18.13860896602542;13.523649558224772;12.745154502061354;10.807930552709351;1.3247938568383688e-06;2.464137480728823e-07;4.1399808026199025e-08;3750000.0;3.5144529419994797e-07;3.069767018359926e-08;1.0982665443748374e-08;9375000.0;9.623817049941863e-07;2.9354060870900867e-07;3.007442828106832e-08;13593750.0;3.3832568533398444e-06;1.410329673490196e-06;1.0572677666687014e-07;15156250.0
18;18;6;0;0;16.0;22.0;16.0;0.00038553484694137883;0.000347221507650156;0.0006457926300443234;0.00044703912592730855;0.0012689905667765489;0.0020319173779350342;0.006723938410122795;0.006723938410122795;4.2837795479863415e-08;3.818045017251279e-08;4.099339740350842e-08;3.818045017251279e-08;36.4220993571434;49.91206267937453;35.68836909924689;179.425548237498;169.58361638927155;127.7275866828403;11.968349506233576;10.830002655673223;11.8371150773511;6.3466650317423046e-06;2.667678927537054e-06;1.9833328224194702e-07;468750.0;3.8727239370928146e-07;3.453563834909801e-08;1.2102262303415046e-08;9218750.0;1.101513248613628e-06;7.118256917237886e-08;3.442228901917588e-08;14843750.0;4.178016752121039e-06;6.79718993978895e-07;1.3056302350378246e-07;17500000.0
19;19;6;1;0;41.0;19.0;16.0;0.00040994732792716293;0.00039288845032948847;0.0005294390844333719;0.0004308387677922094;0.004602742109284732;0.002031913830623563;0.0029006184557810745;0.004602742109284732;4.585043703118572e-08;3.9755741813860367e-08;7.650017770356499e-08;3.9755741813860367e-08;26.553109776308197;36.464986349595726;37.954718882684254;115.9630482972779;101.37247491084587;119.66244907490874;10.070163418663768;10.392603771262168;10.3806629056892;4.959127636539051e-06;2.0234328985679895e-06;1.5497273864184535e-07;468750.0;9.598056749382522e-07;6.30807264201394e-08;2.999392734182038e-08;7656250.0;1.0214735084446147e-06;6.52367546649657e-08;3.192104713889421e-08;11718750.0;2.62622484115127e-06;5.239180040916835e-07;8.206952628597719e-08;17656250.0
20;20;6;2;0;15.0;17.0;14.0;0.0004325814916338414;0.0003929558045440337;0.00047487636957270463;0.000430809570125523;0.002795790483156689;0.0018933206927416715;0.003396565245942338;0.003396565245942338;4.2977249834802935e-08;4.440441447368357e-08;4.388226618175395e-08;4.2977249834802935e-08;32.61202351768582;36.70718045283133;32.94892608887709;70.859091352282;81.54235842928111;70.40139656590152;10.76923918803094;11.5895354088248;11.548787807161787;2.464516001055017e-06;1.0085780104418518e-06;7.701612503296928e-08;468750.0;3.0627481351075403e-07;2.656543074408546e-08;9.571087922211063e-09;9218750.0;6.301685289145098e-07;4.5056985698010976e-08;1.969276652857843e-08;11718750.0;3.6085195915802615e-06;4.4907002916261263e-07;1.1276623723688317e-07;17500000.0
21;21;7;0;0;13.0;13.0;13.0;0.0002696687139840043;0.0010486207635107588;0.000302563424415868;0.000540284300636877;0.002891791914000252;0.010066505998570504;0.003039560131352878;0.010066505998570504;2.71732634237851e-05;3.307929183782835e-05;3.0943840046212426e-05;2.71732634237851e-05;12.3626574842001;14.352045442125853;12.20476292132288;15.787402146023915;24.20826317652672;15.766137964259329;10.192189154468544;10.31664785361344;10.178370157812882;7.960103175719269e-06;1.5149690852922504e-06;2.4875322424122714e-07;0.0;2.142690220807708e-07;1.3573502322117292e-08;6.695906940024088e-09;7031250.0;1.9885521851392696e-07;6.855588541299085e-09;6.214225578560217e-09;14843750.0;2.53778011938266e-07;1.2304933072471158e-08;7.930562873070812e-09;15781250.0
22;22;7;1;0;17.0;11.0;16.0;0.0007688574780263087;0.0002960382091625292;0.0004278113438719227;0.0005266358847542236;0.003216687470408133;0.0027050991931798925;0.003235035765963158;0.003235035765963158;3.509983625269233e-05;2.3951248786310317e-05;3.140074194757908e-05;2.3951248786310317e-05;13.162193341251289;12.57249817383615;12.919538514978306;20.67837751693975;14.385799012528459;18.402995490057144;10.528282712834095;10.06073288536951;10.332370658170658;6.346086593111977e-06;1.314686301157053e-06;1.9831520603474928e-07;0.0;2.2344232775139972e-07;1.770698077052657e-08;6.982572742231241e-09;7187500.0;1.9733010958589148e-07;7.070747987114601e-09;6.166565924559109e-09;14843750.0;2.283310323036858e-07;7.742768204366257e-09;7.135344759490181e-09;18437500.0
23;23;7;2;0;3.0;7.0;3.0;3.750634603820581e-05;5.576494076608671e-05;0.0010385464813687745;0.00027834715904488834;3.949702862738777e-05;0.00014472505278881873;0.003039319495636264;0.003039319495636264;3.587824615659338e-05;3.4938024914672135e-05;3.7534349603069134e-05;3.4938024914672135e-05;12.804316415643973;13.062635384296446;13.46458840428347;13.56520743518074;15.349934417169024;16.379396372532803;11.518695998791307;10.826504065356172;10.794437368370993;3.4402373785269447e-06;6.270339554248494e-07;1.0750741807896702e-07;2968750.0;2.08263188028468e-07;1.1653722431503866e-08;6.508224625889625e-09;7031250.0;1.9772616610680416e-07;6.7078973486900395e-09;6.17894269083763e-09;14843750.0;2.550509634602349e-07;1.230326773793422e-08;7.970342608132341e-09;16406250.0
24;24;8;0;0;31.0;7.0;25.0;0.0002296180146359718;0.0019795512724181947;0.0005676985950552451;0.0005582140037622799;0.0027628709058596978;0.00582951991818256;0.006682116234629475;0.006682116234629475;4.038417578703957e-08;4.6195049717789514e-08;4.121036440774333e-08;4.038417578703957e-08;25.923119637345398;16.409616010886115;23.772794516353574;99.24751596442171;32.4587792476214;62.97155295795482;10.219769401708568;10.623048066008092;10.016105979702697;1.4668903531855904e-06;2.0509592957296263e-07;4.58403235370497e-08;3750000.0;1.4779407138121314e-06;6.57657437841408e-07;4.618564730662911e-08;5781250.0;4.05016947979675e-07;2.690663158944062e-08;1.2656779624364844e-08;14843750.0;7.640710464329459e-07;3.2100281543989695e-08;2.387722020102956e-08;16562500.0
25;25;8;1;0;17.0;7.0;14.0;0.0003158319803335349;0.0022933597273782427;0.00039083009387898575;0.0007077442913585156;0.0016028749975126324;0.008601893808613429;0.0013360839648302674;0.008601893808613429;6.733593741810183e-08;0.00039618401503483763;1.9641409150208348e-07;6.733593741810183e-08;22.874337964774433;20.38646330940052;18.14454661941325;101.79811178466224;47.7482887615171;31.964610909634967;10.119851095086354;11.579044880685085;10.004444258448395;1.6297036609103088e-06;1.9693506203566358e-07;5.092823940344715e-08;3750000.0;8.681814733790816e-07;1.9703040265994787e-07;2.71306710430963e-08;5781250.0;2.679685735529347e-07;1.0270664319023126e-08;8.374017923529209e-09;12500000.0;3.481216310774471e-07;1.7714965494519674e-08;1.0878800971170222e-08;19218750.0
26;26;8;2;0;28.0;5.0;20.0;0.0005724808131808124;0.001282963120248628;0.0008037456058292818;0.0007267771789979532;0.005831917882942756;0.00386974575153114;0.007268905674178282;0.007268905674178282;4.251470934104873e-08;0.00019804330538012;4.146424063073937e-08;4.146424063073937e-08;30.8831560645358;16.088848912884526;27.18441409211489;226.8464678062521;24.801054154384662;68.78023123833144;10.190655564445708;10.009094412497074;10.090843725975752;1.8319011587664136e-06;2.4761726535871276e-07;5.7246911211450424e-08;3750000.0;1.0449235787746147e-06;3.75447484657343e-07;3.265386183670671e-08;5781250.0;5.26211692886136e-07;2.5884405729925675e-08;1.644411540269175e-08;14843750.0;8.299435307890235e-07;3.2094924051762064e-08;2.5935735337156984e-08;19531250.0
27;27;9;0;0;1.0;2.0;4.0;0.007530565253838224;0.0016326042832758721;0.0008138255552280934;0.002007296577328906;0.007530565253838224;0.00326516202644695;0.0016479707538513495;0.007530565253838224;0.007530565253838224;4.6540104794257784e-08;4.349415413162205e-08;4.349415413162205e-08;10.834667005583505;12.022412618049534;13.078175358155919;10.834667005583505;13.680316523451554;14.961713619235082;10.834667005583505;10.364508712647515;11.115437526843705;2.17318529394106e-06;5.011820576328319e-07;6.791204043565813e-08;468750.0;8.038600753934588e-07;1.7867810697680397e-07;2.512062735604559e-08;5781250.0;2.1512300918402616e-07;7.629934017927553e-09;6.7225940370008175e-09;14375000.0;3.057057540445385e-07;1.2036844410090453e-08;9.553304813891828e-09;16562500.0
28;28;9;1;0;1.0;0.0;1.0;0.014852985621937544;0.0;0.0012363157454034488;0.008044650683670497;0.014852985621937544;0.0;0.0012363157454034488;0.014852985621937544;0.014852985621937544;0.0;0.0012363157454034488;0.0012363157454034488;18.78609530229261;0.0;12.900350965627815;18.78609530229261;0.0;12.900350965627815;18.78609530229261;0.0;12.900350965627815;2.163883664252353e-06;4.979972345608985e-07;6.762136450788603e-08;468750.0;7.435115207954368e-07;1.3373011142903124e-07;2.32347350248574e-08;5781250.0;2.074662717177489e-07;7.580965188935807e-09;6.483320991179653e-09;14062500.0;2.746052985003189e-07;1.025996176906574e-08;8.581415578134965e-09;18906250.0
29;29;9;2;0;0.0;1.0;8.0;0.0;4.587540215870831e-08;0.0005691439747526915;0.0005059108526026323;0.0;4.587540215870831e-08;0.002092771025761921;0.002092771025761921;0.0;4.587540215870831e-08;3.830021818866953e-08;3.830021818866953e-08;0.0;10.183841025867657;14.257525125032505;0.0;10.183841025867657;17.912453897428165;0.0;10.183841025867657;10.255756005413978;2.474237135174917e-06;5.726408858208742e-07;7.731991047421616e-08;468750.0;7.341143373196246e-07;1.274151202323992e-07;2.294107304123827e-08;5781250.0;2.1692437712772517e-07;7.988751882237466e-09;6.7788867852414114e-09;14843750.0;3.060169717628014e-07;1.4503023670897619e-08;9.563030367587544e-09;17031250.0
30;30;10;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.179607903002761e-06;2.4454484446323477e-06;2.556127469688363e-07;468750.0;1.8278409470440238e-06;9.944297971742344e-07;5.712002959512574e-08;9531250.0;1.2600025911524426e-06;5.734397063861252e-07;3.937508097351383e-08;11718750.0;3.85683563308703e-07;2.9149616054269245e-08;1.205261135339697e-08;15468750.0
31;31;10;1;0;8.0;0.0;5.0;0.000622758244286647;0.0;0.0018883152339423893;0.0011095109326157786;0.001986765791768929;0.0;0.00896498822375074;0.00896498822375074;0.00010928739175618684;0.0;6.755386814835947e-06;6.755386814835947e-06;12.49166838143632;0.0;12.369721376009057;17.955590609631496;0.0;16.246217583929443;10.115869409689493;0.0;10.934538492690947;6.63966739011812e-06;1.9550857359718066e-06;2.0748960594119126e-07;468750.0;7.219547342174337e-07;1.3472468651798408e-07;2.2561085444294804e-08;9531250.0;8.499832802044693e-07;2.4769437345639744e-07;2.6561977506389667e-08;11718750.0;3.429983621572319e-07;2.8550733333077005e-08;1.0718698817413497e-08;15000000.0
32;32;10;2;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.363004907441791e-06;8.92298658072832e-07;1.0509390335755597e-07;468750.0;2.616776100694551e-06;1.500642838436761e-06;8.177425314670472e-08;9531250.0;6.946770554350223e-07;2.160817871299514e-07;2.1708657982344448e-08;11718750.0;3.270707509273052e-07;1.948964722942037e-08;1.0220960966478287e-08;15312500.0
33;33;11;0;0;4.0;11.0;2.0;0.001418530393117773;0.0024079007992970232;0.00024391093375783967;0.0019205207195443544;0.004065018734203652;0.016390045355680786;0.0004877809762658173;0.016390045355680786;2.1399084326482262e-05;6.313578837312525e-06;4.0891249862033876e-08;4.0891249862033876e-08;13.832265912685944;15.086755254648564;36.39342278064273;17.30169841291702;25.521613863533627;49.62409680929952;11.036917723529921;10.699362768275895;23.162748751985937;9.874906936602201e-06;2.7716905606212094e-06;3.085908417688188e-07;468750.0;2.2738299776392523e-07;8.628706638091899e-09;7.1057186801226635e-09;5625000.0;3.44417856013024e-07;2.9707617699159528e-08;1.0763058000407e-08;11718750.0;4.4041229330105125e-07;3.069671095090598e-08;1.3762884165657852e-08;15625000.0
34;34;11;1;0;73.0;22.0;9.0;0.00012374945479056486;0.00030952162113319885;0.00032884685172015837;0.00018079622625118304;0.000715592058378701;0.0012752188062314861;0.0012385323977109307;0.0012752188062314861;1.097886298695812e-07;8.658372818908538e-06;1.4311077085116994e-05;1.097886298695812e-07;14.537212677926473;15.0024490604647;14.587507376024364;24.32646934992903;34.0156498557249;24.60090342656258;10.02950347022222;10.048777345920684;10.124338062296093;8.053941201069392e-06;2.161019210689119e-06;2.516856625334185e-07;468750.0;5.395583571043971e-07;2.4592889502628168e-08;1.686119865951241e-08;7187500.0;4.012162264643848e-07;2.7534996505096387e-08;1.2538007077012026e-08;11718750.0;3.988597541138006e-07;1.9859713873415785e-08;1.2464367316056268e-08;15937500.0
